log_volume,percentage_of_total_volume
1.3974333432446739,3.4360203489049894e-06
1.3979400086720377,3.5931345194534992e-06
1.3979400086720377,3.5931345194534992e-06
1.3979400086720377,3.5931345194534992e-06
1.398271769765334,3.604090210310636e-06
1.4006419486014423,3.6462510060658061e-06
1.4034514201744754,3.688671719653294e-06
1.4071210311261741,3.731408236870997e-06
1.4108165289253345,3.7745142688144854e-06
1.4141433870372324,3.8179663858178061e-06
1.4164211249042724,3.8616891951545095e-06
1.4196879390732082,3.9057028051483913e-06
1.42276075017166,3.9500393115418549e-06
1.4261652820436483,3.9947043939587043e-06
1.4298038272138289,4.0397308612220248e-06
1.4315568857486367,4.0850724915629622e-06
1.435438713024346,4.1306691003427792e-06
1.439618255148631,4.1767037494070376e-06
1.4433300592575518,4.2231533132095263e-06
1.4470921066407327,4.2700106183951391e-06
1.4499734440609138,4.3171850844954868e-06
1.4542275404526608,4.3647911692683051e-06
1.458033192496506,4.4130423903868321e-06
1.4620951291594686,4.4613122949856879e-06
1.4642150682750705,4.51011538652894e-06
1.4676535894449585,4.5592642695902477e-06
1.4710607399701279,4.6087927042728289e-06
1.473335166739395,4.658680343210278e-06
1.4758164130313181,4.7147482903432512e-06
1.476976465759527,4.7609363357851663e-06
1.4771212547196624,4.9399770223520074e-06
1.4771212547196624,4.9399770223520074e-06
1.4771212547196624,4.9399770223520074e-06
1.4775477251094655,4.9608803577736562e-06
1.4799139335806268,5.0114794329864005e-06
1.4829101113814551,5.0623975637612909e-06
1.4859001033196155,5.1136778760954348e-06
1.4887258936085588,5.1653019518283172e-06
1.4913572668098936,5.2172641827369507e-06
1.4935878598509047,5.2694774438781933e-06
1.4965231851189467,5.3220300447991216e-06
1.4994121256722754,5.3759197250936581e-06
1.5025824002981734,5.4282084250179354e-06
1.505149978319906,5.4842843305154e-06
1.5083892945886483,5.53585543674496e-06
1.5116575627003137,5.5902579913684257e-06
1.5147738854998642,5.6450447410856542e-06
1.5181996075141801,5.7002543129422045e-06
1.5209501845365099,5.7558314062954652e-06
1.5240798743619803,5.8118142569895319e-06
1.5272520807940821,5.86820075345078e-06
1.5301673106694951,5.9249871956234911e-06
1.5324838222441897,5.9821208334636925e-06
1.5356430993777634,6.0396043311763966e-06
1.5386834622386103,6.0975128037921465e-06
1.5413860272857587,6.1558018494233875e-06
1.5439163746447038,6.214455269583409e-06
1.5440680443502757,6.2749501832485248e-06
1.5465197760493752,6.3322593204324579e-06
1.5496395891109203,6.3916343423595157e-06
1.5524976520895375,6.4514234138494282e-06
1.5558280282948875,6.5116330407089844e-06
1.5584451546447844,6.57222133283101e-06
1.5620039804150716,6.6332697433010632e-06
1.5653460722404478,6.6948231692171974e-06
1.568201724066995,6.7639483116146937e-06
1.5712337822662223,6.8192026423738735e-06
1.5740915899370702,6.8820471785763705e-06
1.5771761092923633,6.9453101440597385e-06
1.5797835966168101,7.0167360338809929e-06
1.582375215332658,7.0730293197599148e-06
1.5856345140497461,7.13752801118528e-06
1.5888250208415593,7.2025004400510617e-06
1.5911153608363156,7.2679366465997295e-06
1.5944327732433565,7.3337359999420485e-06
1.5974518141342307,7.4000408977057537e-06
1.5995655063716478,7.4666979779231971e-06
1.6016008405769921,7.5337249096292125e-06
1.6020599913279625,7.724259537098792e-06
1.6020599913279625,7.724259537098792e-06
1.6022252306541316,7.7354058304930238e-06
1.6046263809399517,7.8028316282485678e-06
1.6073889196363267,7.8706759562806469e-06
1.6103875364613038,7.9389643293426759e-06
1.6131141444537431,8.0077412069080652e-06
1.6163611748860782,8.0769703970832472e-06
1.6194559925308791,8.146707692585148e-06
1.6225497924492376,8.2169422358799673e-06
1.6243852414202651,8.28764415858468e-06
1.6275745750656234,8.35860311026276e-06
1.6309744470355496,8.43017992134033e-06
